cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
albahaca,2022,2,A,7.0,6.0,35.0,5833.333333333333,0.91,0.06510014539852604,32.8914658459493,17.667667703696974
albahaca,2022,3,A,6.0,6.0,45.0,7500.0,1.2,0.0423774813895781,33.01318304507825,17.14057441741253
albahaca,2022,4,A,6.0,7.0,45.8,6542.857142857143,1.3,0.00244555424990205,31.55768280174722,14.813744153904292
albahaca,2022,5,A,6.0,5.0,29.0,5800.0,1.2,0.0022125351157609,28.782242610184774,11.549609665921906
albahaca,2022,8,A,7.0,6.0,40.0,6666.666666666667,1.2,0.0028811690102011995,25.53867602564971,9.637504522840342
albahaca,2022,9,A,7.0,6.0,40.7,6783.333333333334,1.2,0.0054668615984405,27.214289666811922,10.348455904937417
albahaca,2022,11,A,7.0,1.0,6.5,6500.0,1.2,0.00226729921410765,29.699171256039094,12.761856445020438
albahaca,2022,12,A,0.0,5.0,33.0,6600.0,1.2,0.008152268678215351,30.936590266283257,14.912426984240518
albahaca,2023,1,A,5.0,5.0,33.2,6640.000000000001,1.2,0.0672821744716048,31.97127306004451,16.892591757252685
albahaca,2023,2,A,7.0,5.0,33.0,6600.0,1.2,0.06510014539852604,32.8914658459493,17.667667703696974
albahaca,2023,3,A,8.0,5.0,33.0,6600.0,1.2,0.0423774813895781,33.01318304507825,17.14057441741253
albahaca,2023,4,A,8.0,7.0,42.0,6000.0,1.2,0.00244555424990205,31.55768280174722,14.813744153904292
albahaca,2023,5,A,7.5,8.0,51.3,6412.5,1.2,0.0022125351157609,28.782242610184774,11.549609665921906
albahaca,2023,6,A,5.5,8.0,51.3,6412.5,1.2,0.0046049840933191505,25.625561616376636,9.91502079657103
albahaca,2023,7,A,5.0,7.5,51.0,6800.0,1.2,0.0059933842761166495,24.576227965695217,9.570422931188329
albahaca,2023,8,A,6.0,5.5,37.8,6872.727272727272,1.2,0.0028811690102011995,25.53867602564971,9.637504522840342
albahaca,2023,9,A,5.0,5.0,31.0,6200.0,1.2,0.0054668615984405,27.214289666811922,10.348455904937417
albahaca,2023,10,A,0.0,5.5,34.0,6181.818181818182,1.2,0.0010604647354310998,28.768127396279702,11.397505622455661
albahaca,2023,12,A,11.0,2.5,15.7,6279.999999999999,1.2,0.008152268678215351,30.936590266283257,14.912426984240518
alcachofa,2020,7,B,,,122.0,,4.12,0.0059933842761166495,24.576227965695217,9.570422931188329
alcachofa,2020,8,B,,,280.0,,4.24,0.0028811690102011995,25.53867602564971,9.637504522840342
alcachofa,2020,9,B,,,855.0,,4.2,0.0054668615984405,27.214289666811922,10.348455904937417
alcachofa,2020,10,B,,,7859.0,,4.15,0.0010604647354310998,28.768127396279702,11.397505622455661
alcachofa,2020,11,B,,,8500.8,,4.269204074910597,0.00226729921410765,29.699171256039094,12.761856445020438
alcachofa,2020,12,B,,,5696.0,,4.132724719101123,0.008152268678215351,30.936590266283257,14.912426984240518
alcachofa,2021,7,B,,,547.0,,4.1,0.0059933842761166495,24.576227965695217,9.570422931188329
alcachofa,2021,8,B,,,893.0,,4.1,0.0028811690102011995,25.53867602564971,9.637504522840342
alcachofa,2021,9,B,,,3028.0,,4.043527080581241,0.0054668615984405,27.214289666811922,10.348455904937417
alcachofa,2021,10,B,,,7850.0,,4.08,0.0010604647354310998,28.768127396279702,11.397505622455661
alcachofa,2021,11,B,,,7393.0,,4.06503854997971,0.00226729921410765,29.699171256039094,12.761856445020438
alcachofa,2021,12,B,,,7789.2,,4.1,0.008152268678215351,30.936590266283257,14.912426984240518
alcachofa,2022,7,B,,,92.5,,4.35,0.0059933842761166495,24.576227965695217,9.570422931188329
alcachofa,2022,8,B,,,3406.0,,4.336506165590135,0.0028811690102011995,25.53867602564971,9.637504522840342
alcachofa,2022,9,B,,,4312.0,,4.354879406307978,0.0054668615984405,27.214289666811922,10.348455904937417
alcachofa,2022,10,B,,,6373.8,,4.41892811195833,0.0010604647354310998,28.768127396279702,11.397505622455661
alcachofa,2022,11,B,,,8303.5,,4.431755886072138,0.00226729921410765,29.699171256039094,12.761856445020438
alcachofa,2022,12,B,,,2800.0,,4.392,0.008152268678215351,30.936590266283257,14.912426984240518
